title,year,authors,affiliations,abstract,doi,article type,abstract_raw,abstract_clean
"The Animals of Architecture: Some Census Results on N-Omino Populations for N = 6, 7, 8",1974.0,"March, L; Matela, R",University of Waterloo; Yale University,an n omino is a planar edge connected set of n square cell the term polyomino n omino and animal are equivalent the first attributable to golomb and the latter to read this paper present some result derived from a census of three different population of n ominoes for n and in all different polyominoes have been analysed in term of property of form which are of architectural interest in this respect the paper extends our knowledge of the so called animal of architecture frew et al the paper concludes with some reflection on the nature of architectural solution space and design process based on the experience of conducting this census and the potential role of polyomino study in architectural education,10.1068/b010193,Research article,"An N-omino is a planar edge-connected set of N square cells. The terms polyomino (N-omino) and animal are equivalent, the first attributable to Golomb (1954) and the latter to Read (1962). This paper presents some results derived from a census of three different populations of N-ominoes for N = 6, 7, and 8. In all, 512 different polyominoes have been analysed in terms of properties of form which are of architectural interest. In this respect the paper extends our knowledge of the so-called ‘animals of architecture’ (Frew et al., 1972). The paper concludes with some reflections on the nature of architectural solution spaces and design processes based on the experience of conducting this census, and the potential role of polyomino studies in architectural education.",an n omino is a planar edge connected set of n square cell the term polyomino n omino and animal are equivalent the first attributable to golomb and the latter to read this paper present some result derived from a census of three different population of n ominoes for n and in all different polyominoes have been analysed in term of property of form which are of architectural interest in this respect the paper extends our knowledge of the so called animal of architecture frew et al the paper concludes with some reflection on the nature of architectural solution space and design process based on the experience of conducting this census and the potential role of polyomino study in architectural education
Some Effects of Floor-Space-Ratio and Bonus Regulations on Rates of Return: A Case Study for Sydney CBD,1974.0,"Savage, Elizabeth",University of Sydney,floor space ratio and bonus floor space regulation are widely used for controlling the form of building and activity concentration in central business district of city this paper contains estimate of the likely effect these type of regulation would have on rate of return for a case study the city of sydney where new regulation were introduced in the purpose of the study is to question change in property value arising from the introduction of these regulation which are outside the context of a rational land use policy,10.1068/b010147,Research article,"Floor-space ratios and bonus floor-space regulations are widely used for controlling the form of buildings and activity concentrations in central business districts of cities. This paper contains estimates of the likely effects these types of regulations would have on rates of return for a case study, the city of Sydney, where new regulations were introduced in 1971. The purpose of the study is to question changes in property values, arising from the introduction of these regulations, which are outside the context of a rational land-use policy.",floor space ratio and bonus floor space regulation are widely used for controlling the form of building and activity concentration in central business district of city this paper contains estimate of the likely effect these type of regulation would have on rate of return for a case study the city of sydney where new regulation were introduced in the purpose of the study is to question change in property value arising from the introduction of these regulation which are outside the context of a rational land use policy
A Theory of Markovian Design Machines,1974.0,"Batty, M",University of Reading,a theory of the design process based on an analogy with the well known markov process in probability theory is developed and applied in this paper design is considered a a process of averaging a set of conflicting factor and the sequential averaging characteristic of the markov process is presented algebraically with an emphasis upon the weight of each factor in the final solution a classification of markov chain and an interpretation using linear graph theory serf to delimit the set of relevant design problem and a particular group of such problem based on symmetric structure is specifically described a second analogy between the choice of design method and the theory of markov decision process exists and the problem of selecting an optimal method using this decision theory is solved using a dynamic programming algorithm due to howard the theory is then applied to the classic highway location problem first discussed by alexander and manheim and some comparison between the different result are attempted finally the place of the theory in the wider context of design is briefly alluded to,10.1068/b010125,Research article,"A theory of the design process, based on an analogy with the well-known Markov process in probability theory, is developed and applied in this paper. Design is considered as a process of averaging a set of conflicting factors, and the sequential averaging characteristic of the Markov process is presented algebraically with an emphasis upon the weight of each factor in the final solution. A classification of Markov chains and an interpretation using linear graph theory serves to delimit the set of relevant design problems, and a particular group of such problems based on symmetric structures is specifically described. A second analogy between the choice of design method and the theory of Markov decision processes exists, and the problem of selecting an optimal method using this decision theory is solved using a dynamic programming algorithm due to Howard (1960). The theory is then applied to the classic highway location problem first discussed by Alexander and Manheim (1962), and some comparisons between the different results are attempted. Finally the place of the theory in the wider context of design is briefly alluded to.",a theory of the design process based on an analogy with the well known markov process in probability theory is developed and applied in this paper design is considered a a process of averaging a set of conflicting factor and the sequential averaging characteristic of the markov process is presented algebraically with an emphasis upon the weight of each factor in the final solution a classification of markov chain and an interpretation using linear graph theory serf to delimit the set of relevant design problem and a particular group of such problem based on symmetric structure is specifically described a second analogy between the choice of design method and the theory of markov decision process exists and the problem of selecting an optimal method using this decision theory is solved using a dynamic programming algorithm due to howard the theory is then applied to the classic highway location problem first discussed by alexander and manheim and some comparison between the different result are attempted finally the place of the theory in the wider context of design is briefly alluded to
An Approach to Structure in Architectural and Urban Design. 1. Introduction and Mathematical Theory,1974.0,"Atkin, R H",University of Essex,this is the first of three paper to be published consecutively and which taken together provide an account of recent research into the question of structure how that concept can be defined and how it can be used in the context of social science in general and of urban design in particular the broad aim of the work ha been to develop a mathematically based language of structure dependent in practice on computer program and to illustrate that language by various study in the field of architecture urban design and community study this mathematical language is essentially combinatorial in nature and is centred on the study of relation between finite set any such relation give rise to a simplicial complex and this in turn may be represented either a a specific geometrical structure in a multidimensional space or a an algebraic subsystem in a certain exterior product space in either event a method of representing an holistic view of an urban environment is achieved by pursuing both the global and local property of the various simplicial complex it is possible to introduce concept of connectivity and of structural force which strongly suggest the intuitive experience of such an environment superimposed on these idea is that of an hierarchical system which is defined in term of mathematical cover set and this hierarchy effectively introduces a filtration into the structure of the relevant simplicial complex in paper i there is a discussion of the background to the question of structure appealing chiefly to the work of alexander which is followed by the introduction of some of the basic mathematical concept associated with the global analysis referred to above these concept include the idea of connectivity structure vector q obstruction vector q a well a the idea of a pattern it on a complex these are all relevant at any one hierarchical level n and represent property of a geometrical structure s n which is termed the static backcloth this exists in a multidimensional space and for example in an urban environment it is the structure which must carry all the dynamic all the action this latter notion is compared with the situation in newtonian and einsteinian physical theory,10.1068/b010051,Research article,"This is the first of three papers to be published consecutively and which, taken together, provide an account of recent researches into the question of structure—how that concept can be defined and how it can be used in the context of social science in general and of urban design in particular. The broad aim of the work has been to develop a mathematically based language of structure, dependent in practice on computer programs, and to illustrate that language by various studies in the fields of architecture, urban design, and community studies. This mathematical language is essentially combinatorial in nature and is centred on the study of relations between finite sets. Any such relation gives rise to a simplicial complex, and this in turn may be represented either as a specific geometrical structure in a multidimensional space or as an algebraic subsystem in a certain exterior product space. In either event a method of representing an holistic view of an urban environment is achieved. By pursuing both the global and local properties of the various simplicial complexes, it is possible to introduce concepts of connectivity and of structural forces which strongly suggest the intuitive experience of such an environment. Superimposed on these ideas is that of an hierarchical system (which is defined in terms of mathematical cover sets), and this hierarchy effectively introduces a filtration into the structures of the relevant simplicial complexes.In paper I there is a discussion of the background to the question of structure, appealing chiefly to the work of Alexander, which is followed by the introduction of some of the basic mathematical concepts associated with the global analysis referred to above. These concepts include the ideas of ⁁-connectivity, structure vector Q, obstruction vector Q̂, as well as the idea of a pattern IT on a complex. These are all relevant at any one hierarchical level, N, and represent properties of a geometrical structure S(N) which is termed the static backcloth. This exists in a multidimensional space and, for example, in an urban environment it is the structure which must carry all the dynamics, all the ‘action’. This latter notion is compared with the situation in Newtonian and Einsteinian physical theories.",this is the first of three paper to be published consecutively and which taken together provide an account of recent research into the question of structure how that concept can be defined and how it can be used in the context of social science in general and of urban design in particular the broad aim of the work ha been to develop a mathematically based language of structure dependent in practice on computer program and to illustrate that language by various study in the field of architecture urban design and community study this mathematical language is essentially combinatorial in nature and is centred on the study of relation between finite set any such relation give rise to a simplicial complex and this in turn may be represented either a a specific geometrical structure in a multidimensional space or a an algebraic subsystem in a certain exterior product space in either event a method of representing an holistic view of an urban environment is achieved by pursuing both the global and local property of the various simplicial complex it is possible to introduce concept of connectivity and of structural force which strongly suggest the intuitive experience of such an environment superimposed on these idea is that of an hierarchical system which is defined in term of mathematical cover set and this hierarchy effectively introduces a filtration into the structure of the relevant simplicial complex in paper i there is a discussion of the background to the question of structure appealing chiefly to the work of alexander which is followed by the introduction of some of the basic mathematical concept associated with the global analysis referred to above these concept include the idea of connectivity structure vector q obstruction vector q a well a the idea of a pattern it on a complex these are all relevant at any one hierarchical level n and represent property of a geometrical structure s n which is termed the static backcloth this exists in a multidimensional space and for example in an urban environment it is the structure which must carry all the dynamic all the action this latter notion is compared with the situation in newtonian and einsteinian physical theory
Froebel's Kindergarten Gifts and the Early Work of Frank Lloyd Wright,1974.0,"MacCormac, R C","MacCormac and Jamieson, Architects, 5 Dryden Street, London WC2 9NW, England",frank lloyd wright s style of architecture ha been thought to be idiosyncratic this study look at his early work a a system and start by considering the system of froebel s kindergarten which wright experienced in childhood froebel s kindergarten method included pattern making exercise on grid similar to the method of architectural education which durand introduced at l ficole polytechnique at the end of the th and beginning of the th century the geometric structure of these symmetrical crystalline pattern in which a multiplicity of component is resolved into intersecting figure can be discerned in wright s architecture the pattern are generally dimensional wright set himself the problem of translating the functional brief of building problem into a dimensional expression of froebel s idea he recognised this possibility in sullivan s work and more particularly in sullivan s system of ornament which ha a discipline analogous to froebel s in his early work wright gradually transforms the conventional idea of a building a an envelope containing an organisation of room into a system of component pier balustrade and roof plane which represent the overall pattern of the building with little distinction between inside and outside,10.1068/b010029,Research article,"Frank Lloyd Wright's style of architecture has been thought to be idiosyncratic. This study looks at his early work as a system, and starts by considering the system of Froebel's kindergarten which Wright experienced in childhood. Froebel's kindergarten method included pattern-making exercises on grids, similar to the method of architectural education which Durand introduced at L'ficole polytechnique at the end of the 18th and beginning of the 19th centuries.The geometric structure of these symmetrical crystalline patterns, in which a multiplicity of components is resolved into intersecting figures, can be discerned in Wright's architecture. The patterns are generally 2-dimensional. Wright set himself the problem of translating the functional briefs of building problems into a 3-dimensional expression of Froebel's idea. He recognised this possibility in Sullivan's work and more particularly in Sullivan's system of ornament which has a discipline analogous to Froebel's.In his early work Wright gradually transforms the conventional idea of a building, as an envelope containing an organisation of rooms, into a system of components, piers, balustrades, and roof planes which represent the overall pattern of the building, with little distinction between inside and outside.",frank lloyd wright s style of architecture ha been thought to be idiosyncratic this study look at his early work a a system and start by considering the system of froebel s kindergarten which wright experienced in childhood froebel s kindergarten method included pattern making exercise on grid similar to the method of architectural education which durand introduced at l ficole polytechnique at the end of the th and beginning of the th century the geometric structure of these symmetrical crystalline pattern in which a multiplicity of component is resolved into intersecting figure can be discerned in wright s architecture the pattern are generally dimensional wright set himself the problem of translating the functional brief of building problem into a dimensional expression of froebel s idea he recognised this possibility in sullivan s work and more particularly in sullivan s system of ornament which ha a discipline analogous to froebel s in his early work wright gradually transforms the conventional idea of a building a an envelope containing an organisation of room into a system of component pier balustrade and roof plane which represent the overall pattern of the building with little distinction between inside and outside
Office Design and Organizations: 1. Theoretical Basis,1974.0,"Duffy, F",Princeton University,this paper is the first of two which taken together will give an account of some research on the relationship between one kind of designed environment the office interior and one kind of social group the office organization this first paper review some attempt to describe the nature of this kind of relationship the question of criticality is discussed and doubt is cast on the advisability of seeking direct evidence of effect of the environment on behaviour instead a simpler approach is advocated which by giving equal attention to people and building and by measuring both in a quantitative way attempt to test whether correspondence exist between them to this general approach is added an important idea from organization theory that structural variation make it possible to categorize type of organization two current idees regus in office design that layout should reflect pattern of interaction and be a egalitarian a possible are attacked in the light of this view of organization theory it is argued that not only is it likely that there will be variation in for example degree of interaction and of power sharing but that these organizational variation will be reflected in corresponding variation in layout design this is the theoretical basis for the empirical test of a hypothetical model relating two aspect of organizational structure and two kind of variation in office layout design which will be described in the second paper,10.1068/b010105,Research article,"This paper is the first of two which taken together will give an account of some research on the relationship between one kind of designed environment, the office interior, and one kind of social group, the office organization. This first paper reviews some attempts to describe the nature of this kind of relationship. The question of criticality is discussed and doubt is cast on the advisability of seeking direct evidence of effects of the environment on behaviour. Instead, a simpler approach is advocated which, by giving equal attention to people and buildings and by measuring both in a quantitative way, attempts to test whether correspondences exist between them.To this general approach is added an important idea from organization theory—that structural variations make it possible to categorize types of organization. Two current idees regus in office design—that layout should reflect patterns of interaction and be as egalitarian as possible—are attacked in the light of this view of organization theory. It is argued that not only is it likely that there will be variations in, for example, degrees of interaction and of power sharing, but that these organizational variations will be reflected in corresponding variations in layout design.This is the theoretical basis for the empirical test of a hypothetical model relating two aspects of organizational structure and two kinds of variation in office layout design which will be described in the second paper.",this paper is the first of two which taken together will give an account of some research on the relationship between one kind of designed environment the office interior and one kind of social group the office organization this first paper review some attempt to describe the nature of this kind of relationship the question of criticality is discussed and doubt is cast on the advisability of seeking direct evidence of effect of the environment on behaviour instead a simpler approach is advocated which by giving equal attention to people and building and by measuring both in a quantitative way attempt to test whether correspondence exist between them to this general approach is added an important idea from organization theory that structural variation make it possible to categorize type of organization two current idees regus in office design that layout should reflect pattern of interaction and be a egalitarian a possible are attacked in the light of this view of organization theory it is argued that not only is it likely that there will be variation in for example degree of interaction and of power sharing but that these organizational variation will be reflected in corresponding variation in layout design this is the theoretical basis for the empirical test of a hypothetical model relating two aspect of organizational structure and two kind of variation in office layout design which will be described in the second paper
Modelling the Demand for Teaching Space,1974.0,"Bullock, N O A",University of Cambridge,this paper illustrates the use of activity modelling at a detailed scale to determine the teaching space requirement for institution such a university or polytechnic it is argued that traditional method of predicting the demand for space on the basis of a number of utilisation factor are unsatisfactory because no adequate theoretical explanation can be advanced for the choice of one level of utilisation rather than another by contrast in this paper we propose two method of predicting the demand for space that are based on a detailed understanding of the way in which any pattern of teaching must be organised in time and space in the first two section we examine a method which relates through the use of a timetabling program the number and type of lecture seminar and practicals to the demand for space in the third section this use of the timetabling program is extended through the introduction of a solution space within which all possible timetable solution must fall for a particular set of constraint from the dimension of this space we then show that it is possible to estimate the minimum and maximum length of the teaching week and the minimum and maximum number of room of different type and size required for any pattern of teaching in the fourth section we describe a second method of determining the demand for space which is based not on a measure of the minimum demand but on the most probable distribution of teaching event over the week this probabilistic approach it is argued provides a more realistic measure of demand by taking account of factor such a inefficiency in timetabling or the unwillingness of staff to teach at certain time which in practice increase the demand for space above the minimum finally the paper end with a comparison between the two method proposed and the traditional method of estimating the demand for teaching space,10.1068/b010069,Research article,"This paper illustrates the use of activity modelling at a detailed scale to determine the teaching space requirements for institutions such as universities or polytechnics. It is argued that traditional methods of predicting the demand for space, on the basis of a number of utilisation factors, are unsatisfactory because no adequate theoretical explanation can be advanced for the choice of one level of utilisation rather than another. By contrast, in this paper we propose two methods of predicting the demand for space that are based on a detailed understanding of the ways in which any pattern of teaching must be organised in time and space.In the first two sections we examine a method which relates, through the use of a timetabling program, the number and type of lectures, seminars, and practicals to the demand for space. In the third section this use of the timetabling program is extended through the introduction of a solution space within which all possible timetable solutions must fall for a particular set of constraints. From the dimensions of this space we then show that it is possible to estimate the minimum and maximum length of the teaching week, and the minimum and maximum number of rooms of different types and sizes required for any pattern of teaching.In the fourth section we describe a second method of determining the demand for space, which is based not on a measure of the minimum demand but on the most probable distribution of teaching events over the week. This probabilistic approach, it is argued, provides a more realistic measure of demand by taking account of factors, such as inefficiency in timetabling or the unwillingness of staff to teach at certain times, which in practice increase the demand for space above the minimum. Finally the paper ends with a comparison between the two methods proposed and the traditional methods of estimating the demand for teaching space.",this paper illustrates the use of activity modelling at a detailed scale to determine the teaching space requirement for institution such a university or polytechnic it is argued that traditional method of predicting the demand for space on the basis of a number of utilisation factor are unsatisfactory because no adequate theoretical explanation can be advanced for the choice of one level of utilisation rather than another by contrast in this paper we propose two method of predicting the demand for space that are based on a detailed understanding of the way in which any pattern of teaching must be organised in time and space in the first two section we examine a method which relates through the use of a timetabling program the number and type of lecture seminar and practicals to the demand for space in the third section this use of the timetabling program is extended through the introduction of a solution space within which all possible timetable solution must fall for a particular set of constraint from the dimension of this space we then show that it is possible to estimate the minimum and maximum length of the teaching week and the minimum and maximum number of room of different type and size required for any pattern of teaching in the fourth section we describe a second method of determining the demand for space which is based not on a measure of the minimum demand but on the most probable distribution of teaching event over the week this probabilistic approach it is argued provides a more realistic measure of demand by taking account of factor such a inefficiency in timetabling or the unwillingness of staff to teach at certain time which in practice increase the demand for space above the minimum finally the paper end with a comparison between the two method proposed and the traditional method of estimating the demand for teaching space
Energy Conservation Measures in Building: A Survey,1974.0,"Steadman, P","The Academy of Natural Sciences, 19th and the Parkway, Philadelphia, Pennsylvania 19103, USA",a wide range of possible measure for the conservation of energy in building are reviewed the survey is made in the context of the american situation and cover energy use in space heating and cooling water heating lighting and domestic and other appliance topic discussed include total energy system insulation heat loss through ventilation solar heat gain heat of light life cycle costing heat pump standard of heating and cooling lighting standard appliance design energy cost of building material and potential saving from energy conservation measure many of these area are the subject of much detailed research in their own right the purpose of the present broad review is to try to set the variety of separate possibility for conservation in the context of a potentially systematic view of their overall interrelationship and in the context of building design seen a a whole,10.1068/b010003,Research article,"A wide range of possible measures for the conservation of energy in buildings are reviewed. The survey is made in the context of the American situation and covers energy use in space heating and cooling, water heating, lighting, and domestic and other appliances. Topics discussed include ‘total energy’ systems, insulation, heat losses through ventilation, solar heat gain, heat of lights, life-cycle costing, heat pumps, standards of heating and cooling, lighting standards, appliance design, energy costs of building materials, and potential savings from energy conservation measures. Many of these areas are the subject of much detailed research in their own right; the purpose of the present broad review is to try to set the variety of separate possibilities for conservation in the context of a potentially systematic view of their overall interrelationship, and in the context of building design seen as a whole.",a wide range of possible measure for the conservation of energy in building are reviewed the survey is made in the context of the american situation and cover energy use in space heating and cooling water heating lighting and domestic and other appliance topic discussed include total energy system insulation heat loss through ventilation solar heat gain heat of light life cycle costing heat pump standard of heating and cooling lighting standard appliance design energy cost of building material and potential saving from energy conservation measure many of these area are the subject of much detailed research in their own right the purpose of the present broad review is to try to set the variety of separate possibility for conservation in the context of a potentially systematic view of their overall interrelationship and in the context of building design seen a a whole
Office Design and Organizations: 2. The Testing of a Hypothetical Model,1974.0,"Duffy, F",Princeton University,this paper describes the test of a hypothetical model which is an attempt to explain the relationship between the layout of office interior and the structure of the organization housed in them the theoretical basis for the study wa described in the first part of this paper,10.1068/b010217,Research article,This paper describes the test of a hypothetical model which is an attempt to explain the relationship between the layout of office interiors and the structure of the organizations housed in them. The theoretical basis for the study was described in the first part of this paper.,this paper describes the test of a hypothetical model which is an attempt to explain the relationship between the layout of office interior and the structure of the organization housed in them the theoretical basis for the study wa described in the first part of this paper
An Approach to Structure in Architectural and Urban Design. 2. Algebraic Representation and Local Structure,1974.0,"Atkin, R H",University of Essex,in this second paper it is shown that any simplicial complex k x with a finite vertex set x possesses a natural algebraic representation in a specified exterior algebra this also lead to a representation of pattern by polynomial in that algebra the idea of the complementary complex with antivertices also find an algebraic representation in an extended exterior algebra the algebraic representation is used to illustrate the role of the obstruction vector q k introduced in the first of these paper furthermore the local geometry of the complex is explored by introducing the idea of shomotopy and the associated group structure sq whose generator are linked to the idea of a q hole and q object,10.1068/b010173,Research article,"In this second paper it is shown that any simplicial complex K(X), with a finite vertex set X, possesses a natural algebraic representation in a specified exterior algebra. This also leads to a representation of patterns by polynomials in that algebra. The idea of the complementary complex, with antivertices, also finds an algebraic representation in an extended exterior algebra. The algebraic representation is used to illustrate the role of the obstruction vector Q̂(K), introduced in the first of these papers. Furthermore the local geometry of the complex is explored by introducing the idea of shomotopy and the associated group structure {Sq *} whose generators are linked to the ideas of a q-hole and q-object.",in this second paper it is shown that any simplicial complex k x with a finite vertex set x possesses a natural algebraic representation in a specified exterior algebra this also lead to a representation of pattern by polynomial in that algebra the idea of the complementary complex with antivertices also find an algebraic representation in an extended exterior algebra the algebraic representation is used to illustrate the role of the obstruction vector q k introduced in the first of these paper furthermore the local geometry of the complex is explored by introducing the idea of shomotopy and the associated group structure sq whose generator are linked to the idea of a q hole and q object
"Site Planning, Architectural Detailing, and Thermal Performance: An Experimental Study",1974.0,"Soukiassan, G",World Health Organization - Pakistan; World Health Organization,this paper describes an exercise in which a well documented computer model wa used by a building manager to predict the thermal performance of projected extension to a large international headquarters building a range of planning option were analysed the effect of different architectural detail were examined and the degree in which the building complex could modify insolation gain by self shading were evaluated the experiment demonstrates that significant reduction may be achieved in heating and cooling load at both the broad strategic level of site planning and the tactical level of architectural detailing,10.1068/b010165,Research article,"This paper describes an exercise in which a well-documented computer model was used by a building manager to predict the thermal performance of projected extensions to a large international headquarters building. A range of planning options were analysed, the effect of different architectural details were examined, and the degree in which the building complex could modify insolation gains by self-shading were evaluated. The experiment demonstrates that significant reductions may be achieved in heating and cooling loads at both the broad strategic level of site planning and the tactical level of architectural detailing.",this paper describes an exercise in which a well documented computer model wa used by a building manager to predict the thermal performance of projected extension to a large international headquarters building a range of planning option were analysed the effect of different architectural detail were examined and the degree in which the building complex could modify insolation gain by self shading were evaluated the experiment demonstrates that significant reduction may be achieved in heating and cooling load at both the broad strategic level of site planning and the tactical level of architectural detailing
"Generalized Measures of Information, Bayes' Likelihood Ratio and Jaynes' Formalism",1975.0,"March, L; Batty, M",University of Waterloo,this paper relates generalized measure of information to expected likelihood function elf derived from bayes equation it then demonstrates that jaynes formalism may be extended to formulate a class of minimally prejudiced model of which those derived from shannon s measure are but a limiting and special case the r le of probable inference and of information minimizing model in design is commented on,10.1068/b020099,Research article,This paper relates generalized measures of information to expected likelihood functions (ELFs) derived from Bayes' equation. It then demonstrates that Jaynes' formalism may be extended to formulate a class of minimally-prejudiced models of which those derived from Shannon's measure are but a limiting and special case. The rôle of probable inference and of information-minimizing models in design is commented on.,this paper relates generalized measure of information to expected likelihood function elf derived from bayes equation it then demonstrates that jaynes formalism may be extended to formulate a class of minimally prejudiced model of which those derived from shannon s measure are but a limiting and special case the r le of probable inference and of information minimizing model in design is commented on
Models of Needs in Large New Residential Units,1975.0,"Moučka, J",Institute of Construction and Architecture of the Slovak Academy of Sciences,this paper describes a methodological approach to the design of large residential development technique are described for predicting the composition of the population in proposed development including change in the age structure and in household formation over time a the housing development and it inhabitant mature forecast are also made about where the resident are likely to work what service they will require and where their recreation time might be spent it is assumed that the residential unit are sufficiently large for statistical method to be valid in making forecast foreseen variation in housing need over time are taken into account by the flexibility within the design of building method for determining the size of auxiliary urban facility are also outlined a comprehensive an approach a possible is taken the method themselves being subject to improvement with use and experience,10.1068/b020089,Research article,"This paper describes a methodological approach to the design of large residential developments. Techniques are described for predicting the composition of the population in proposed developments, including changes in the age structure and in household formation over time, as the housing development and its inhabitants mature. Forecasts are also made about where the residents are likely to work, what services they will require, and where their recreation time might be spent. It is assumed that the residential units are sufficiently large for statistical methods to be valid in making forecasts. Foreseen variations in housing needs over time are taken into account by the flexibility within the design of buildings. Methods for determining the sizes of auxiliary urban facilities are also outlined. As comprehensive an approach as possible is taken, the methods themselves being subject to improvement with use and experience.",this paper describes a methodological approach to the design of large residential development technique are described for predicting the composition of the population in proposed development including change in the age structure and in household formation over time a the housing development and it inhabitant mature forecast are also made about where the resident are likely to work what service they will require and where their recreation time might be spent it is assumed that the residential unit are sufficiently large for statistical method to be valid in making forecast foreseen variation in housing need over time are taken into account by the flexibility within the design of building method for determining the size of auxiliary urban facility are also outlined a comprehensive an approach a possible is taken the method themselves being subject to improvement with use and experience
Building Forms and Circulation Patterns,1975.0,"Willoughby, T M",Harvard University,in recent work tabor march and steadman spectrum of building form have been studied in term of their circulation characteristic with respect to occupancy by single homogeneous organization in this paper the more realistic assumption is made that a building may well accommodate more than one organization or a heterogeneous organization made up of department with high within departmert interaction and negligible between department interaction measured in term of trip the paper is in five section section outline an approximate permutational algorithm for arranging the department within the building form section set out seventeen distinct but related building form and defines the circulation measurement to be examined section describes the eleven schematic circulation pattern chosen for the experiment section look at the theoretical match between circulation pattern and building form finally section employ the approximate permutational algorithm to compare trip distribution over the possible combination of building form and schematic circulation pattern,10.1068/b020059,Research article,"In recent work (Tabor, 1970; 1975; March and Steadman, 1971), spectra of building forms have been studied in terms of their circulation characteristics with respect to occupancy by single homogeneous organizations. In this paper the more realistic assumption is made that a building may well accommodate more than one organization, or a heterogeneous organization made up of departments with high within-departmert interaction and negligible between-department interaction measured in terms of trips. The paper is in five sections. Section 1 outlines an approximate permutational algorithm for arranging the departments within the building forms. Section 2 sets out seventeen distinct but related building forms and defines the circulation measurements to be examined. Section 3 describes the eleven schematic circulation patterns chosen for the experiment. Section 4 looks at the theoretical match between circulation patterns and building forms, finally section 5 employs the approximate permutational algorithm to compare trip distributions over the possible combinations of building forms and schematic circulation patterns.",in recent work tabor march and steadman spectrum of building form have been studied in term of their circulation characteristic with respect to occupancy by single homogeneous organization in this paper the more realistic assumption is made that a building may well accommodate more than one organization or a heterogeneous organization made up of department with high within departmert interaction and negligible between department interaction measured in term of trip the paper is in five section section outline an approximate permutational algorithm for arranging the department within the building form section set out seventeen distinct but related building form and defines the circulation measurement to be examined section describes the eleven schematic circulation pattern chosen for the experiment section look at the theoretical match between circulation pattern and building form finally section employ the approximate permutational algorithm to compare trip distribution over the possible combination of building form and schematic circulation pattern
